Profit Ratio,Category,City,Country/Region,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Manufacturer,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
34%,Office Supplies,Chapel Hill,United States,Claudia Bergmann,20%,1,6/16/2019,CA-2019-136826,27514,Quartet,"Quartet Omega Colored Chalk, 12/Pack",$5,3,South,$14,Corporate,6/20/2019,Standard Class,North Carolina,Art
4%,Office Supplies,Morristown,United States,Paul Gonzalez,0%,1,1/22/2018,CA-2018-111010,07960,Other,Bagged Rubber Bands,$0,6,East,$8,Consumer,1/28/2018,Standard Class,New Jersey,Fasteners
-20%,Office Supplies,Cincinnati,United States,Christine Abelman,20%,1,12/9/2019,US-2019-145366,45231,SAFCO,Safco Commercial Shelving,-$7,1,East,$37,Corporate,12/13/2019,Standard Class,Ohio,Storage
38%,Office Supplies,Cincinnati,United States,Christine Abelman,20%,1,12/9/2019,US-2019-145366,45231,Other,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",$22,3,East,$58,Corporate,12/13/2019,Standard Class,Ohio,Envelopes
29%,Office Supplies,San Francisco,United States,Kristen Hastings,0%,1,12/28/2019,CA-2019-163979,94110,Other,Adjustable Depth Letter/Legal Cart,$210,4,West,$726,Corporate,1/2/2020,Second Class,California,Storage
44%,Technology,San Francisco,United States,Helen Andreada,0%,1,7/30/2017,CA-2017-155334,94109,Logitech,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,$92,7,West,$210,Consumer,7/31/2017,First Class,California,Accessories
44%,Furniture,San Francisco,United States,Helen Andreada,0%,1,7/30/2017,CA-2017-155334,94109,Other,Regeneration Desk Collection,$2,3,West,$5,Consumer,7/31/2017,First Class,California,Furnishings
38%,Office Supplies,San Francisco,United States,Helen Andreada,20%,1,7/30/2017,CA-2017-155334,94109,Other,Presstex Flexible Ring Binders,$4,3,West,$11,Consumer,7/31/2017,First Class,California,Binders
46%,Office Supplies,Inglewood,United States,Barry Blumstein,0%,1,9/16/2019,CA-2019-118136,90301,Ampad,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",$4,2,West,$9,Corporate,9/17/2019,First Class,California,Paper
26%,Office Supplies,Inglewood,United States,Barry Blumstein,0%,1,9/16/2019,CA-2019-118136,90301,Newell,Newell 330,$2,1,West,$6,Corporate,9/17/2019,First Class,California,Art
35%,Office Supplies,Philadelphia,United States,Andrew Gjertsen,20%,1,10/13/2019,CA-2019-132976,19140,Other,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",$4,2,East,$12,Corporate,10/17/2019,Standard Class,Pennsylvania,Paper
33%,Office Supplies,Philadelphia,United States,Andrew Gjertsen,20%,1,10/13/2019,CA-2019-132976,19140,Adams,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",$6,4,East,$18,Corporate,10/17/2019,Standard Class,Pennsylvania,Paper
10%,Office Supplies,Philadelphia,United States,Andrew Gjertsen,20%,1,10/13/2019,CA-2019-132976,19140,Eldon,Eldon Simplefile Box Office,$6,6,East,$60,Corporate,10/17/2019,Standard Class,Pennsylvania,Storage
35%,Office Supplies,Philadelphia,United States,Andrew Gjertsen,20%,1,10/13/2019,CA-2019-132976,19140,Avery,Avery 489,$9,3,East,$25,Corporate,10/17/2019,Standard Class,Pennsylvania,Labels
-165%,Office Supplies,Houston,United States,Steven Cartwright,80%,1,9/26/2017,US-2017-161991,77070,Other,Round Ring Binders,-$3,5,Central,$2,Consumer,9/28/2017,Second Class,Texas,Binders
34%,Technology,Houston,United States,Steven Cartwright,20%,1,9/26/2017,US-2017-161991,77070,Other,Bose SoundLink Bluetooth Speaker,$376,7,Central,"$1,114",Consumer,9/28/2017,Second Class,Texas,Phones
5%,Furniture,Los Angeles,United States,Jas O'Carroll,20%,1,11/2/2017,CA-2017-130890,90004,Bevis,"Bevis Round Bullnose 29"" High Table Top",$52,5,West,"$1,039",Consumer,11/6/2017,Standard Class,California,Tables
34%,Office Supplies,Portland,United States,Tracy Blumstein,20%,1,9/26/2017,CA-2017-130883,97206,Easy-staple paper,Easy-staple paper,$48,5,West,$142,Consumer,10/2/2017,Standard Class,Oregon,Paper
20%,Technology,Portland,United States,Tracy Blumstein,20%,1,9/26/2017,CA-2017-130883,97206,Microsoft,Microsoft Arc Touch Mouse,$48,5,West,$240,Consumer,10/2/2017,Standard Class,Oregon,Accessories
35%,Office Supplies,Portland,United States,Tracy Blumstein,20%,1,9/26/2017,CA-2017-130883,97206,Xerox,Xerox 216,$11,6,West,$31,Consumer,10/2/2017,Standard Class,Oregon,Paper
-67%,Office Supplies,Tamarac,United States,Alan Haines,70%,1,12/18/2018,CA-2018-112697,33319,GBC,GBC VeloBinder Electric Binding Machine,-$169,7,South,$254,Corporate,12/20/2018,Second Class,Florida,Binders
13%,Office Supplies,Tamarac,United States,Alan Haines,20%,1,12/18/2018,CA-2018-112697,33319,Acco,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",$24,2,South,$195,Corporate,12/20/2018,Second Class,Florida,Appliances
-21%,Office Supplies,Tamarac,United States,Alan Haines,20%,1,12/18/2018,CA-2018-112697,33319,Other,Premier Automatic Letter Opener,-$204,5,South,$961,Corporate,12/20/2018,Second Class,Florida,Supplies
35%,Office Supplies,Columbus,United States,Nick Zandusky,20%,1,11/20/2018,CA-2018-110772,43229,Advantus,Advantus SlideClip Paper Clips,$7,7,East,$19,Home Office,11/24/2018,Second Class,Ohio,Fasteners
34%,Office Supplies,Columbus,United States,Nick Zandusky,20%,1,11/20/2018,CA-2018-110772,43229,Avery,Avery 512,$6,8,East,$18,Home Office,11/24/2018,Second Class,Ohio,Labels
21%,Technology,Columbus,United States,Nick Zandusky,20%,1,11/20/2018,CA-2018-110772,43229,Logitech,Logitech Wireless Gaming Headset G930,$54,2,East,$256,Home Office,11/24/2018,Second Class,Ohio,Accessories
-56%,Furniture,Columbus,United States,Nick Zandusky,50%,1,11/20/2018,CA-2018-110772,43229,Bush,"Bush Westfield Collection Bookcases, Medium Cherry Finish",-$49,3,East,$87,Home Office,11/24/2018,Second Class,Ohio,Bookcases
26%,Furniture,Colorado Springs,United States,Kelly Lampkin,20%,1,12/26/2016,CA-2016-111451,80906,Howard Miller,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",$79,8,West,$300,Corporate,12/28/2016,First Class,Colorado,Furnishings
9%,Furniture,Colorado Springs,United States,Kelly Lampkin,20%,1,12/26/2016,CA-2016-111451,80906,Global,Global Deluxe Office Fabric Chairs,$20,3,West,$230,Corporate,12/28/2016,First Class,Colorado,Chairs
-11%,Furniture,Colorado Springs,United States,Kelly Lampkin,20%,1,12/26/2016,CA-2016-111451,80906,Eldon,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,-$25,3,West,$218,Corporate,12/28/2016,First Class,Colorado,Furnishings
-80%,Office Supplies,Colorado Springs,United States,Kelly Lampkin,70%,1,12/26/2016,CA-2016-111451,80906,Ibico,Ibico Laser Imprintable Binding System Covers,-$63,5,West,$79,Corporate,12/28/2016,First Class,Colorado,Binders
34%,Office Supplies,Colorado Springs,United States,Kelly Lampkin,20%,1,12/26/2016,CA-2016-111451,80906,Other,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",$9,3,West,$28,Corporate,12/28/2016,First Class,Colorado,Fasteners
48%,Office Supplies,Belleville,United States,Jonathan Doherty,0%,1,10/28/2018,CA-2018-142545,07109,Xerox,Xerox 223,$16,5,East,$32,Corporate,11/3/2018,Standard Class,New Jersey,Paper
1%,Office Supplies,Belleville,United States,Jonathan Doherty,0%,1,10/28/2018,CA-2018-142545,07109,Tennsco,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",$11,8,East,"$1,082",Corporate,11/3/2018,Standard Class,New Jersey,Storage
48%,Office Supplies,Belleville,United States,Jonathan Doherty,0%,1,10/28/2018,CA-2018-142545,07109,Xerox,Xerox 1939,$27,3,East,$57,Corporate,11/3/2018,Standard Class,New Jersey,Paper
49%,Furniture,Belleville,United States,Jonathan Doherty,0%,1,10/28/2018,CA-2018-142545,07109,Other,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",$38,4,East,$78,Corporate,11/3/2018,Standard Class,New Jersey,Furnishings
46%,Office Supplies,Belleville,United States,Jonathan Doherty,0%,1,10/28/2018,CA-2018-142545,07109,Avery,Avery Premier Heavy-Duty Binder with Round Locking Rings,$7,1,East,$14,Corporate,11/3/2018,Standard Class,New Jersey,Binders
-60%,Furniture,Chicago,United States,Jonathan Howell,50%,1,11/19/2019,US-2019-152380,60623,Other,BPI Conference Tables,-$131,3,Central,$219,Consumer,11/23/2019,Standard Class,Illinois,Tables
48%,Furniture,New York City,United States,Alan Schoenberger,0%,1,5/4/2017,CA-2017-144253,10024,Electrix,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,$13,2,East,$27,Corporate,5/9/2017,Second Class,New York,Furnishings
29%,Office Supplies,Taylor,United States,Ken Brennan,0%,1,12/30/2016,CA-2016-130960,48180,Newell,Newell 350,$3,3,Central,$10,Corporate,1/4/2017,Standard Class,Michigan,Art
46%,Office Supplies,Lakewood,United States,Corey Roper,0%,1,6/1/2016,CA-2016-111003,08701,GBC,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",$21,3,East,$45,Home Office,6/6/2016,Standard Class,New Jersey,Binders
29%,Office Supplies,Lakewood,United States,Corey Roper,0%,1,6/1/2016,CA-2016-111003,08701,Boston,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,$84,6,East,$289,Home Office,6/6/2016,Standard Class,New Jersey,Art
41%,Office Supplies,Arlington,United States,Shahid Hopkins,0%,1,4/15/2019,CA-2019-126774,22204,Other,Faber Castell Col-Erase Pencils,$2,1,South,$5,Consumer,4/17/2019,First Class,Virginia,Art
24%,Furniture,Arvada,United States,Ben Peterman,20%,1,9/12/2018,CA-2018-142902,80004,C-Line,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,$4,4,West,$15,Corporate,9/14/2018,Second Class,Colorado,Furnishings
11%,Furniture,Arvada,United States,Ben Peterman,20%,1,9/12/2018,CA-2018-142902,80004,Hon,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,$53,2,West,$467,Corporate,9/14/2018,Second Class,Colorado,Chairs
11%,Furniture,Arvada,United States,Ben Peterman,20%,1,9/12/2018,CA-2018-142902,80004,Eldon,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",$2,1,West,$15,Corporate,9/14/2018,Second Class,Colorado,Furnishings
33%,Office Supplies,Arvada,United States,Ben Peterman,20%,1,9/12/2018,CA-2018-142902,80004,Avery,Avery 509,$2,3,West,$6,Corporate,9/14/2018,Second Class,Colorado,Labels
43%,Furniture,Hackensack,United States,Thomas Seio,0%,1,9/27/2016,CA-2016-120887,07601,Deflect-o,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",$38,3,East,$88,Corporate,10/3/2016,Standard Class,New Jersey,Furnishings
13%,Technology,Saint Petersburg,United States,Andy Gerbode,20%,1,8/9/2016,CA-2016-167850,33710,AT&T,AT&T 1070 Corded Phone,$22,2,South,$178,Corporate,8/16/2016,Standard Class,Florida,Phones
35%,Office Supplies,Saint Petersburg,United States,Andy Gerbode,20%,1,8/9/2016,CA-2016-167850,33710,Xerox,Xerox 21,$5,3,South,$16,Corporate,8/16/2016,Standard Class,Florida,Paper
9%,Office Supplies,Philadelphia,United States,Sung Pak,20%,1,12/28/2016,CA-2016-164259,19143,Boston,"Boston School Pro Electric Pencil Sharpener, 1670",$9,4,East,$99,Corporate,12/30/2016,First Class,Pennsylvania,Art
18%,Furniture,New York City,United States,Nathan Mautz,10%,1,11/4/2016,CA-2016-164973,10024,DMI,DMI Arturo Collection Mission-style Design Wood Chair,$24,1,East,$136,Home Office,11/9/2016,Standard Class,New York,Chairs
50%,Technology,New York City,United States,Nathan Mautz,0%,1,11/4/2016,CA-2016-164973,10024,Canon,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,"$1,996",2,East,"$3,992",Home Office,11/9/2016,Standard Class,New York,Machines
29%,Technology,New York City,United States,Nathan Mautz,0%,1,11/4/2016,CA-2016-164973,10024,Panasonic,Panasonic Kx-TS550,$80,6,East,$276,Home Office,11/9/2016,Standard Class,New York,Phones
36%,Technology,New York City,United States,Nathan Mautz,0%,1,11/4/2016,CA-2016-164973,10024,NETGEAR,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,$130,4,East,$360,Home Office,11/9/2016,Standard Class,New York,Accessories
30%,Office Supplies,New York City,United States,Nathan Mautz,0%,1,11/4/2016,CA-2016-164973,10024,Other,"Trav-L-File Heavy-Duty Shuttle II, Black",$13,1,East,$44,Home Office,11/9/2016,Standard Class,New York,Storage
50%,Office Supplies,Long Beach,United States,Frank Atkinson,0%,1,9/19/2016,CA-2016-156601,90805,Other,OIC Binder Clips,$4,2,West,$7,Corporate,9/24/2016,Standard Class,California,Fasteners
33%,Office Supplies,Hesperia,United States,Grace Kelly,20%,1,4/23/2018,CA-2018-162138,92345,Ibico,Ibico Laser Imprintable Binding System Covers,$82,6,West,$252,Corporate,4/27/2018,Standard Class,California,Binders
35%,Technology,Hesperia,United States,Grace Kelly,0%,1,4/23/2018,CA-2018-162138,92345,Logitech,Logitech Wireless Headset h800,$35,1,West,$100,Corporate,4/27/2018,Standard Class,California,Accessories
6%,Furniture,Murfreesboro,United States,Don Jones,20%,1,11/3/2019,CA-2019-153339,37130,Other,Telescoping Adjustable Floor Lamp,$1,1,South,$16,Corporate,11/5/2019,Second Class,Tennessee,Furnishings
-23%,Technology,Philadelphia,United States,Patrick O'Brill,40%,1,8/30/2018,US-2018-141544,19143,Other,Aastra 57i VoIP phone,-$68,3,East,$291,Consumer,9/1/2018,First Class,Pennsylvania,Phones
6%,Office Supplies,Philadelphia,United States,Patrick O'Brill,20%,1,8/30/2018,US-2018-141544,19143,Other,"File Shuttle II and Handi-File, Black",$3,2,East,$54,Consumer,9/1/2018,First Class,Pennsylvania,Storage
-33%,Furniture,Philadelphia,United States,Patrick O'Brill,30%,1,8/30/2018,US-2018-141544,19143,Hon,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,-$259,4,East,$787,Consumer,9/1/2018,First Class,Pennsylvania,Chairs
34%,Office Supplies,Philadelphia,United States,Patrick O'Brill,20%,1,8/30/2018,US-2018-141544,19143,Other,Round Specialty Laser Printer Labels,$34,10,East,$100,Consumer,9/1/2018,First Class,Pennsylvania,Labels
-73%,Office Supplies,Philadelphia,United States,Patrick O'Brill,70%,1,8/30/2018,US-2018-141544,19143,GBC,GBC Premium Transparent Covers with Diagonal Lined Pattern,-$28,6,East,$38,Consumer,9/1/2018,First Class,Pennsylvania,Binders
-25%,Technology,Philadelphia,United States,John Lucas,40%,1,4/25/2018,US-2018-150147,19134,AT&T,AT&T 841000 Phone,-$21,2,East,$83,Consumer,4/29/2018,Second Class,Pennsylvania,Phones
-67%,Office Supplies,Philadelphia,United States,John Lucas,70%,1,4/25/2018,US-2018-150147,19134,Ibico,Ibico Recycled Grain-Textured Covers,-$14,2,East,$21,Consumer,4/29/2018,Second Class,Pennsylvania,Binders
-70%,Office Supplies,Philadelphia,United States,John Lucas,70%,1,4/25/2018,US-2018-150147,19134,Wilson Jones,Wilson Jones Custom Binder Spines & Labels,-$3,3,East,$5,Consumer,4/29/2018,Second Class,Pennsylvania,Binders
34%,Office Supplies,Los Angeles,United States,Doug Bickford,20%,1,9/1/2017,CA-2017-137946,90045,Storex,Storex Dura Pro Binders,$2,1,West,$5,Consumer,9/4/2017,Second Class,California,Binders
35%,Technology,Los Angeles,United States,Doug Bickford,20%,1,9/1/2017,CA-2017-137946,90045,Hewlett-Packard,Hewlett Packard LaserJet 3310 Copier,$336,2,West,$960,Consumer,9/4/2017,Second Class,California,Copiers
31%,Office Supplies,Los Angeles,United States,Doug Bickford,20%,1,9/1/2017,CA-2017-137946,90045,Avery,Avery Non-Stick Binders,$4,4,West,$14,Consumer,9/4/2017,Second Class,California,Binders
36%,Office Supplies,San Francisco,United States,Alyssa Crouse,20%,1,7/12/2016,CA-2016-129924,94122,Other,Tuff Stuff Recycled Round Ring Binders,$3,2,West,$8,Corporate,7/17/2016,Standard Class,California,Binders
-3%,Furniture,San Francisco,United States,Alyssa Crouse,20%,1,7/12/2016,CA-2016-129924,94122,Hon,Hon 5100 Series Wood Tables,-$17,3,West,$698,Corporate,7/17/2016,Standard Class,California,Tables
47%,Office Supplies,Layton,United States,Ken Lonsdale,0%,1,6/22/2017,CA-2017-128167,84041,OIC,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",$2,4,West,$5,Consumer,6/26/2017,Second Class,Utah,Fasteners
6%,Office Supplies,Philadelphia,United States,Jonathan Doherty,20%,1,4/13/2016,CA-2016-122336,19140,Newell,Newell 314,$1,4,East,$18,Corporate,4/17/2016,Second Class,Pennsylvania,Art
-80%,Office Supplies,Philadelphia,United States,Jonathan Doherty,70%,1,4/13/2016,CA-2016-122336,19140,Fellowes,Fellowes PB200 Plastic Comb Binding Machine,-$408,10,East,$510,Corporate,4/17/2016,Second Class,Pennsylvania,Binders
33%,Office Supplies,Philadelphia,United States,Jonathan Doherty,20%,1,4/13/2016,CA-2016-122336,19140,Other,Staples,$10,13,East,$31,Corporate,4/17/2016,Second Class,Pennsylvania,Fasteners
12%,Technology,Philadelphia,United States,Jonathan Doherty,40%,1,4/13/2016,CA-2016-122336,19140,Square,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",$8,12,East,$72,Corporate,4/17/2016,Second Class,Pennsylvania,Phones
-3%,Office Supplies,Austin,United States,Chad Sievert,20%,1,12/20/2017,US-2017-120712,78745,Fellowes,Fellowes Super Stor/Drawer,-$2,4,Central,$89,Consumer,12/24/2017,Standard Class,Texas,Storage
10%,Technology,San Francisco,United States,Clay Cheatham,20%,1,6/15/2019,CA-2019-169901,94122,Anker,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,$5,3,West,$48,Consumer,6/19/2019,Standard Class,California,Phones
41%,Office Supplies,Lowell,United States,Tamara Dahlen,0%,1,7/8/2019,CA-2019-134306,01852,Binney & Smith,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",$3,3,East,$8,Consumer,7/12/2019,Standard Class,Massachusetts,Art
47%,Office Supplies,Lowell,United States,Tamara Dahlen,0%,1,7/8/2019,CA-2019-134306,01852,Easy-staple paper,Easy-staple paper,$12,2,East,$25,Consumer,7/12/2019,Standard Class,Massachusetts,Paper
32%,Office Supplies,Lowell,United States,Tamara Dahlen,0%,1,7/8/2019,CA-2019-134306,01852,BIC,"BIC Brite Liner Highlighters, Chisel Tip",$4,2,East,$13,Consumer,7/12/2019,Standard Class,Massachusetts,Art
34%,Technology,New York City,United States,Adam Bellavance,0%,1,9/1/2018,CA-2018-129714,10009,Other,Sabrent 4-Port USB 2.0 Hub,$2,1,East,$7,Home Office,9/3/2018,First Class,New York,Accessories
47%,Office Supplies,New York City,United States,Adam Bellavance,0%,1,9/1/2018,CA-2018-129714,10009,Xerox,Xerox 1881,$12,2,East,$25,Home Office,9/3/2018,First Class,New York,Paper
35%,Office Supplies,New York City,United States,Adam Bellavance,20%,1,9/1/2018,CA-2018-129714,10009,Acco,Acco Hanging Data Binders,$1,1,East,$3,Home Office,9/3/2018,First Class,New York,Binders
47%,Office Supplies,New York City,United States,Adam Bellavance,0%,1,9/1/2018,CA-2018-129714,10009,Xerox,Xerox 1881,$23,4,East,$49,Home Office,9/3/2018,First Class,New York,Paper
33%,Office Supplies,New York City,United States,Adam Bellavance,20%,1,9/1/2018,CA-2018-129714,10009,GBC,GBC DocuBind P400 Electric Binding System,"$1,415",4,East,"$4,355",Home Office,9/3/2018,First Class,New York,Binders
-1%,Furniture,New York City,United States,Jeremy Lonsdale,20%,1,4/8/2018,CA-2018-138520,10035,Sauder,Sauder Barrister Bookcases,-$5,6,East,$389,Consumer,4/13/2018,Standard Class,New York,Bookcases
46%,Office Supplies,New York City,United States,Jeremy Lonsdale,0%,1,4/8/2018,CA-2018-138520,10035,Other,"#10 Gummed Flap White Envelopes, 100/Box",$4,2,East,$8,Consumer,4/13/2018,Standard Class,New York,Envelopes
41%,Office Supplies,New York City,United States,Jeremy Lonsdale,0%,1,4/8/2018,CA-2018-138520,10035,Dixon,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",$7,4,East,$17,Consumer,4/13/2018,Standard Class,New York,Art
46%,Office Supplies,New York City,United States,Jeremy Lonsdale,0%,1,4/8/2018,CA-2018-138520,10035,Adams,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",$16,5,East,$34,Consumer,4/13/2018,Standard Class,New York,Paper
31%,Office Supplies,Charlotte,United States,Heather Kirkland,20%,1,4/23/2018,CA-2018-130001,28205,Southworth,Southworth 25% Cotton Linen-Finish Paper & Envelopes,$11,5,South,$36,Corporate,4/28/2018,Standard Class,North Carolina,Paper
26%,Office Supplies,Columbus,United States,Victoria Brennan,0%,1,3/8/2019,CA-2019-155698,31907,Belkin,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,$168,8,South,$648,Corporate,3/11/2019,First Class,Georgia,Appliances
48%,Office Supplies,Columbus,United States,Victoria Brennan,0%,1,3/8/2019,CA-2019-155698,31907,Avery,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",$10,2,South,$21,Corporate,3/11/2019,First Class,Georgia,Labels
48%,Office Supplies,New York City,United States,Katrina Willman,0%,1,9/25/2019,CA-2019-144904,10009,Avery,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",$10,2,East,$21,Consumer,10/1/2019,Standard Class,New York,Labels
18%,Furniture,New York City,United States,Katrina Willman,10%,1,9/25/2019,CA-2019-144904,10009,Global,Global Ergonomic Managers Chair,$87,3,East,$489,Consumer,10/1/2019,Standard Class,New York,Chairs
26%,Office Supplies,New York City,United States,Katrina Willman,0%,1,9/25/2019,CA-2019-144904,10009,Newell,Newell 333,$1,2,East,$6,Consumer,10/1/2019,Standard Class,New York,Art
44%,Furniture,New York City,United States,Katrina Willman,0%,1,9/25/2019,CA-2019-144904,10009,Eldon,Eldon Wave Desk Accessories,$21,8,East,$47,Consumer,10/1/2019,Standard Class,New York,Furnishings
4%,Office Supplies,San Francisco,United States,Julia Dunbar,0%,1,9/24/2016,CA-2016-123344,94109,Gould Plastics,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",$8,4,West,$212,Consumer,9/29/2016,Standard Class,California,Storage
45%,Office Supplies,Manchester,United States,Michael Kennedy,0%,1,10/21/2018,CA-2018-155516,06040,Wilson Jones,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,$10,4,East,$23,Corporate,10/21/2018,Same Day,Connecticut,Binders
2%,Office Supplies,Manchester,United States,Michael Kennedy,0%,1,10/21/2018,CA-2018-155516,06040,Staple remover,Staple remover,$0,2,East,$7,Corporate,10/21/2018,Same Day,Connecticut,Supplies
28%,Office Supplies,Manchester,United States,Michael Kennedy,0%,1,10/21/2018,CA-2018-155516,06040,Other,Pizazz Global Quick File,$29,7,East,$105,Corporate,10/21/2018,Same Day,Connecticut,Storage
26%,Furniture,Manchester,United States,Michael Kennedy,0%,1,10/21/2018,CA-2018-155516,06040,Atlantic,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",$271,4,East,"$1,044",Corporate,10/21/2018,Same Day,Connecticut,Bookcases
36%,Office Supplies,Harlingen,United States,Guy Thornton,20%,1,5/29/2019,CA-2019-104745,78550,Xerox,Xerox 1930,$9,5,Central,$26,Consumer,6/4/2019,Standard Class,Texas,Paper
9%,Office Supplies,Harlingen,United States,Guy Thornton,20%,1,5/29/2019,CA-2019-104745,78550,Other,File Shuttle I and Handi-File,$5,3,Central,$53,Consumer,6/4/2019,Standard Class,Texas,Storage
-70%,Office Supplies,Tucson,United States,Arthur Gainer,70%,1,7/23/2016,US-2016-119137,85705,Wilson Jones,Wilson Jones Custom Binder Spines & Labels,-$6,5,West,$8,Consumer,7/27/2016,Standard Class,Arizona,Binders
18%,Technology,Tucson,United States,Arthur Gainer,20%,1,7/23/2016,US-2016-119137,85705,NETGEAR,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,$179,8,West,"$1,024",Consumer,7/27/2016,Standard Class,Arizona,Accessories
10%,Office Supplies,Tucson,United States,Arthur Gainer,20%,1,7/23/2016,US-2016-119137,85705,Newell,Newell 324,$1,1,West,$9,Consumer,7/27/2016,Standard Class,Arizona,Art
-6%,Technology,Tucson,United States,Arthur Gainer,20%,1,7/23/2016,US-2016-119137,85705,Microsoft,Microsoft Natural Keyboard Elite,-$30,10,West,$479,Consumer,7/27/2016,Standard Class,Arizona,Accessories
31%,Office Supplies,Quincy,United States,Muhammed MacIntyre,20%,1,9/28/2018,US-2018-134656,62301,Xerox,Xerox 1960,$31,4,Central,$99,Corporate,10/1/2018,First Class,Illinois,Paper
-20%,Furniture,Franklin,United States,Allen Rosenblatt,30%,1,8/27/2019,US-2019-134481,02038,Office Impressions,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",-$298,7,East,"$1,488",Corporate,9/1/2019,Standard Class,Massachusetts,Tables
-235%,Office Supplies,Houston,United States,Russell Applegate,80%,1,4/28/2017,CA-2017-130792,77095,Holmes,Holmes Odor Grabber,-$20,3,Central,$9,Consumer,5/5/2017,Standard Class,Texas,Appliances
11%,Office Supplies,Houston,United States,Russell Applegate,20%,1,4/28/2017,CA-2017-130792,77095,Akro,Akro-Mils 12-Gallon Tote,$3,3,Central,$24,Consumer,5/5/2017,Standard Class,Texas,Storage
-155%,Office Supplies,Houston,United States,Russell Applegate,80%,1,4/28/2017,CA-2017-130792,77095,GBC,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",-$19,4,Central,$12,Consumer,5/5/2017,Standard Class,Texas,Binders
50%,Office Supplies,San Francisco,United States,Alejandro Savely,0%,1,10/28/2018,CA-2018-134775,94109,Southworth,Southworth Structures Collection,$25,7,West,$51,Corporate,10/29/2018,First Class,California,Paper
35%,Office Supplies,San Francisco,United States,Alejandro Savely,20%,1,10/28/2018,CA-2018-134775,94109,Other,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",$17,3,West,$50,Corporate,10/29/2018,First Class,California,Binders
21%,Technology,Taylor,United States,Laura Armstrong,0%,1,6/26/2017,CA-2017-125395,48180,Sony,Sony 32GB Class 10 Micro SDHC R40 Memory Card,$9,2,Central,$42,Corporate,6/29/2017,Second Class,Michigan,Accessories
-42%,Furniture,Pembroke Pines,United States,Denny Ordway,45%,1,11/27/2017,US-2017-168935,33024,Hon,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",-$157,3,South,$375,Consumer,12/2/2017,Standard Class,Florida,Tables
-1%,Technology,Pembroke Pines,United States,Denny Ordway,20%,1,11/27/2017,US-2017-168935,33024,Logitech,Logitech Media Keyboard K200,-$1,3,South,$84,Consumer,12/2/2017,Standard Class,Florida,Accessories
-70%,Technology,Philadelphia,United States,Dean Katz,70%,1,12/3/2017,CA-2017-122756,19140,Lexmark,Lexmark MarkNet N8150 Wireless Print Server,-$338,4,East,$482,Corporate,12/7/2017,Standard Class,Pennsylvania,Machines
26%,Furniture,Philadelphia,United States,Dean Katz,20%,1,12/3/2017,CA-2017-122756,19140,3M,3M Hangers With Command Adhesive,$1,1,East,$3,Corporate,12/7/2017,Standard Class,Pennsylvania,Furnishings
